測站編號,時間,陣風_風速,風速,風向,氣壓,氣溫,海面溫度,示性波高,平均週期,波向,波浪尖峰週期,流速,分層流速{深度:流速},流向,分層流向{深度:流向},流速(節),潮高
StationID,time,Wind_Gust_Speed,Wind_Speed,Wind_Direction,Air_Pressure,Air_Temperature,Sea_Temperature,Wave_Height_Significant,Wave_Mean_Period,Wave_Main_Direction,Wave_Peak_Period,Current_Speed,Current_Speed_Layer,Current_Direction,Current_Direction_Layer,Current_Speed_knot,Tide_Height
,UTC+8,m/s,m/s,degree,hPa,C,C,m,sec,degree,sec,m/s,m/s,degree,degree,knot,m
Vector_CWB_FB_46757B,"2013-01-01 00:00:00",8.7,6.8,58,1020.1,14,19.4,1.22,4.8,22,5.8,,,,,,
Vector_CWB_FB_46757B,"2013-01-01 01:00:00",5.4,4,73,1019.9,13.6,19.4,1.03,4.7,11,4.8,,,,,,
Vector_CWB_FB_46757B,"2013-01-01 02:00:00",4.5,3.2,53,1019.8,13.4,19.5,1.16,5.1,11,6.4,,,,,,
Vector_CWB_FB_46757B,"2013-01-01 03:00:00",4.3,2.6,75,1019.9,13.3,19.4,1.12,5,11,5.6,,,,,,
Vector_CWB_FB_46757B,"2013-01-01 04:00:00",3.8,2.5,103,1020.2,13.3,19.4,1.08,5.3,348,6.7,,,,,,
Vector_CWB_FB_46757B,"2013-01-01 05:00:00",3.3,2.4,86,1020.3,13.2,19.5,1.31,5.3,,6.2,,,,,,
Vector_CWB_FB_46757B,"2013-01-01 06:00:00",4.5,3.1,62,1021,13.8,19.5,1.17,5.2,,6.6,,,,,,
Vector_CWB_FB_46757B,"2013-01-01 07:00:00",5.3,4,66,1021.3,14,19.5,1.1,5.1,11,6.4,,,,,,
Vector_CWB_FB_46757B,"2013-01-01 08:00:00",3.9,3,73,1021.8,14,19.4,1.16,5.1,11,6.4,,,,,,
Vector_CWB_FB_46757B,"2013-01-01 09:00:00",3.7,2.7,78,1022.6,14.1,19.5,1.26,5.2,11,6.2,,,,,,
Vector_CWB_FB_46757B,"2013-01-01 10:00:00",3.5,2.6,90,1022.3,13.7,19.5,1.07,4.9,33,5.9,,,,,,
Vector_CWB_FB_46757B,"2013-01-01 11:00:00",4.4,3.2,63,1021.7,14,19.5,1.02,4.8,11,5.9,,,,,,
Vector_CWB_FB_46757B,"2013-01-01 12:00:00",4.2,3.3,78,1020.6,14.1,19.5,0.9,4.7,22,5.9,,,,,,
Vector_CWB_FB_46757B,"2013-01-01 13:00:00",3.7,2.7,89,1019.4,14.1,19.6,0.86,4.8,11,5.8,,,,,,
Vector_CWB_FB_46757B,"2013-01-01 14:00:00",3.1,1.9,102,1019.2,14.5,19.5,0.77,4.8,,5.6,,,,,,
Vector_CWB_FB_46757B,"2013-01-01 15:00:00",3.1,1.8,48,1018.9,14.7,19.6,0.68,4.8,,5.1,,,,,,
Vector_CWB_FB_46757B,"2013-01-01 16:00:00",6.1,4.9,67,1019.2,14.9,19.4,0.59,4.8,11,5.6,,,,,,
Vector_CWB_FB_46757B,"2013-01-01 17:00:00",4.3,3.5,82,1019.4,15.1,19.5,0.62,4.7,,5.5,,,,,,
Vector_CWB_FB_46757B,"2013-01-01 18:00:00",3.7,2.9,82,1020,15.3,19.1,0.7,4.8,,5.6,,,,,,
Vector_CWB_FB_46757B,"2013-01-01 19:00:00",5.5,4.4,72,1020.6,15.2,19.5,0.72,4.8,,6,,,,,,
Vector_CWB_FB_46757B,"2013-01-01 20:00:00",4.2,3.3,86,1020.8,15.3,19.5,0.71,4.6,348,5.6,,,,,,
Vector_CWB_FB_46757B,"2013-01-01 21:00:00",6.4,5.2,111,1020.4,15.3,19.4,0.73,4.6,,5,,,,,,
Vector_CWB_FB_46757B,"2013-01-01 22:00:00",5.5,4.6,116,1020.3,15.2,19.4,0.67,4.6,22,5.2,,,,,,
Vector_CWB_FB_46757B,"2013-01-01 23:00:00",6.2,4.8,98,1019.7,15.4,19.5,0.75,4.5,33,4.7,,,,,,
