測站編號,時間,陣風_風速,風速,風向,氣壓,氣溫,海面溫度,示性波高,平均週期,波向,波浪尖峰週期,流速,分層流速{深度:流速},流向,分層流向{深度:流向},流速(節),潮高
StationID,time,Wind_Gust_Speed,Wind_Speed,Wind_Direction,Air_Pressure,Air_Temperature,Sea_Temperature,Wave_Height_Significant,Wave_Mean_Period,Wave_Main_Direction,Wave_Peak_Period,Current_Speed,Current_Speed_Layer,Current_Direction,Current_Direction_Layer,Current_Speed_knot,Tide_Height
,UTC+8,m/s,m/s,degree,hPa,C,C,m,sec,degree,sec,m/s,m/s,degree,degree,knot,m
Vector_CWB_FB_46699A,"2024-01-01 00:00:00",13.2,10.6,44,,20.3,24.6,2.61,6.2,45,9.1,0.07,,285,,,
Vector_CWB_FB_46699A,"2024-01-01 01:00:00",13.6,10.7,48,,20.3,24.6,2.5,6.2,45,8.8,0.07,,185,,,
Vector_CWB_FB_46699A,"2024-01-01 02:00:00",14.2,11.1,50,,19.7,24.6,2.17,5.6,45,8.5,0.1,,263,,,
Vector_CWB_FB_46699A,"2024-01-01 03:00:00",13.4,10.9,51,,19.8,24.6,2.41,5.7,33,8.8,0.12,,253,,,
Vector_CWB_FB_46699A,"2024-01-01 04:00:00",13.1,10.4,42,,19.7,24.6,2.68,6.7,33,9.3,0.21,,120,,,
Vector_CWB_FB_46699A,"2024-01-01 05:00:00",12.7,10.2,38,,19.7,24.6,2.26,6.2,33,10.6,0.06,,207,,,
Vector_CWB_FB_46699A,"2024-01-01 06:00:00",13.9,10.5,42,,19.9,24.7,2.39,6.2,45,9.1,0.25,,160,,,
Vector_CWB_FB_46699A,"2024-01-01 07:00:00",13.4,10.8,37,,20,24.6,2.17,6,33,8.6,0.34,,159,,,
Vector_CWB_FB_46699A,"2024-01-01 08:00:00",13.3,10.7,43,,19.9,24.6,2.36,6.6,33,9.1,0.31,,137,,,
Vector_CWB_FB_46699A,"2024-01-01 09:00:00",13.5,10.3,39,,19.9,24.6,1.98,5.9,22,10.6,0.22,,177,,,
Vector_CWB_FB_46699A,"2024-01-01 10:00:00",12.6,10.1,41,,19.9,24.6,2.09,6,45,9.6,0.24,,201,,,
Vector_CWB_FB_46699A,"2024-01-01 11:00:00",12,9,45,,20,24.6,2.15,6,45,9.4,0.16,,249,,,
Vector_CWB_FB_46699A,"2024-01-01 12:00:00",13,10.1,45,,20.3,24.5,2.03,6,45,9.6,0.06,,213,,,
Vector_CWB_FB_46699A,"2024-01-01 13:00:00",13,10.2,42,,20,24.4,1.8,5.5,33,9.3,0.03,,158,,,
Vector_CWB_FB_46699A,"2024-01-01 14:00:00",12.2,9.9,47,,19.8,24.5,1.96,5.6,33,9.6,0.19,,156,,,
Vector_CWB_FB_46699A,"2024-01-01 15:00:00",12.5,9.9,48,,20.2,24.5,1.83,5.6,33,8.9,0.23,,172,,,
Vector_CWB_FB_46699A,"2024-01-01 16:00:00",11.9,9.2,42,,20.1,24.5,1.59,5.5,33,9.4,0.15,,170,,,
Vector_CWB_FB_46699A,"2024-01-01 17:00:00",10.6,8.6,41,,19.8,24.7,1.65,5.6,45,8.9,0.21,,151,,,
Vector_CWB_FB_46699A,"2024-01-01 18:00:00",9.7,7.1,42,,20.1,24.8,1.46,5.9,33,8.8,0.15,,148,,,
Vector_CWB_FB_46699A,"2024-01-01 19:00:00",9.2,6.4,27,,19.6,24.8,1.67,6,22,8.3,0.08,,115,,,
Vector_CWB_FB_46699A,"2024-01-01 20:00:00",7.2,3.7,1,,19.6,24.6,1.58,6.2,56,8.5,0.06,,101,,,
Vector_CWB_FB_46699A,"2024-01-01 21:00:00",4.6,2.4,330,,19.6,24.7,1.58,6.2,56,8.1,0.08,,70,,,
Vector_CWB_FB_46699A,"2024-01-01 22:00:00",3.8,2.4,242,,18.8,24.8,1.52,6.3,45,7.8,0.1,,241,,,
Vector_CWB_FB_46699A,"2024-01-01 23:00:00",3.7,2.3,259,,18.6,24.8,1.52,6.3,56,8.8,0.09,,297,,,
