測站編號,時間,陣風_風速,風速,風向,氣壓,氣溫,海面溫度,示性波高,平均週期,波向,波浪尖峰週期,流速,分層流速{深度:流速},流向,分層流向{深度:流向},流速(節),潮高
StationID,time,Wind_Gust_Speed,Wind_Speed,Wind_Direction,Air_Pressure,Air_Temperature,Sea_Temperature,Wave_Height_Significant,Wave_Mean_Period,Wave_Main_Direction,Wave_Peak_Period,Current_Speed,Current_Speed_Layer,Current_Direction,Current_Direction_Layer,Current_Speed_knot,Tide_Height
,UTC+8,m/s,m/s,degree,hPa,C,C,m,sec,degree,sec,m/s,m/s,degree,degree,knot,m
Vector_CWB_FB_46714D,"2015-01-01 00:00:00",5.3,4.3,39,1018.6,19.5,24,0.78,5.6,180,8,0.389,,236,,,
Vector_CWB_FB_46714D,"2015-01-01 00:06:00",,,,,,,,,,,0.385,,228,,,
Vector_CWB_FB_46714D,"2015-01-01 00:12:00",,,,,,,,,,,0.411,,232,,,
Vector_CWB_FB_46714D,"2015-01-01 00:18:00",,,,,,,,,,,0.388,,236,,,
Vector_CWB_FB_46714D,"2015-01-01 00:24:00",,,,,,,,,,,0.373,,240,,,
Vector_CWB_FB_46714D,"2015-01-01 00:30:00",,,,,,,,,,,0.383,,239,,,
Vector_CWB_FB_46714D,"2015-01-01 00:36:00",,,,,,,,,,,0.338,,246,,,
Vector_CWB_FB_46714D,"2015-01-01 00:42:00",,,,,,,,,,,0.365,,229,,,
Vector_CWB_FB_46714D,"2015-01-01 00:48:00",,,,,,,,,,,0.358,,230,,,
Vector_CWB_FB_46714D,"2015-01-01 00:54:00",,,,,,,,,,,0.277,,266,,,
Vector_CWB_FB_46714D,"2015-01-01 01:00:00",4.4,2.4,47,1018.5,19.4,23.9,0.89,5.6,168,8,0.28,,301,,,
Vector_CWB_FB_46714D,"2015-01-01 01:06:00",,,,,,,,,,,0.212,,310,,,
Vector_CWB_FB_46714D,"2015-01-01 01:12:00",,,,,,,,,,,0.208,,343,,,
Vector_CWB_FB_46714D,"2015-01-01 01:18:00",,,,,,,,,,,0.124,,354,,,
Vector_CWB_FB_46714D,"2015-01-01 01:24:00",,,,,,,,,,,0.2,,351,,,
Vector_CWB_FB_46714D,"2015-01-01 01:30:00",,,,,,,,,,,0.208,,350,,,
Vector_CWB_FB_46714D,"2015-01-01 01:36:00",,,,,,,,,,,0.233,,349,,,
Vector_CWB_FB_46714D,"2015-01-01 01:42:00",,,,,,,,,,,0.118,,355,,,
Vector_CWB_FB_46714D,"2015-01-01 01:48:00",,,,,,,,,,,0.178,,336,,,
Vector_CWB_FB_46714D,"2015-01-01 01:54:00",,,,,,,,,,,0.172,,341,,,
Vector_CWB_FB_46714D,"2015-01-01 02:00:00",3.1,2.1,44,1018.5,19.5,24.2,0.76,5.7,168,8.2,0.106,,,,,
Vector_CWB_FB_46714D,"2015-01-01 02:06:00",,,,,,,,,,,0.125,,357,,,
Vector_CWB_FB_46714D,"2015-01-01 02:12:00",,,,,,,,,,,0.108,,341,,,
Vector_CWB_FB_46714D,"2015-01-01 02:18:00",,,,,,,,,,,0.107,,336,,,
Vector_CWB_FB_46714D,"2015-01-01 02:24:00",,,,,,,,,,,0.114,,350,,,
Vector_CWB_FB_46714D,"2015-01-01 02:30:00",,,,,,,,,,,0.122,,346,,,
Vector_CWB_FB_46714D,"2015-01-01 02:36:00",,,,,,,,,,,0.114,,315,,,
Vector_CWB_FB_46714D,"2015-01-01 02:42:00",,,,,,,,,,,0.073,,357,,,
Vector_CWB_FB_46714D,"2015-01-01 02:48:00",,,,,,,,,,,0.091,,49,,,
Vector_CWB_FB_46714D,"2015-01-01 02:54:00",,,,,,,,,,,0.103,,4,,,
Vector_CWB_FB_46714D,"2015-01-01 03:00:00",4.7,4,43,1018.4,19.3,24.2,0.74,5.9,157,8,,,,,,
Vector_CWB_FB_46714D,"2015-01-01 03:06:00",,,,,,,,,,,0.095,,5,,,
Vector_CWB_FB_46714D,"2015-01-01 03:12:00",,,,,,,,,,,0.068,,333,,,
Vector_CWB_FB_46714D,"2015-01-01 03:18:00",,,,,,,,,,,0.117,,,,,
