#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 01 00 21 999 99.0 99.0  1.15  7.69  5.14  96 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 00 51 999 99.0 99.0  1.18  7.69  5.45  95 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 01 21 999 99.0 99.0  1.20  8.33  5.47 105 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 01 01 51 999 99.0 99.0  1.22  8.33  5.31 100 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 01 02 21 999 99.0 99.0  1.23  7.69  5.42  99 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 01 02 51 999 99.0 99.0  1.22  8.33  5.34  96 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 01 03 21 999 99.0 99.0  1.31  7.69  5.39  99 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 01 03 51 999 99.0 99.0  1.33  7.69  5.12 102 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 01 04 21 999 99.0 99.0  1.40  7.69  5.19 105 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 01 04 51 999 99.0 99.0  1.31  8.33  5.08  99 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 01 05 21 999 99.0 99.0  1.39  7.69  5.41 105 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 01 05 51 999 99.0 99.0  1.54  7.69  5.54  99 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 01 06 21 999 99.0 99.0  1.44  7.69  5.38 100 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 01 06 51 999 99.0 99.0  1.47  7.69  5.33  99 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 01 07 21 999 99.0 99.0  1.53  8.33  5.50 102 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 01 07 51 999 99.0 99.0  1.48  7.69  5.31 102 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 01 08 21 999 99.0 99.0  1.53  7.69  5.48 100 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 08 51 999 99.0 99.0  1.49  6.67  5.31  96 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 09 21 999 99.0 99.0  1.45  8.33  5.40 102 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 09 51 999 99.0 99.0  1.46  7.69  5.24  96 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 10 21 999 99.0 99.0  1.52  7.69  5.66  99 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 10 51 999 99.0 99.0  1.34  7.69  5.53  88 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 11 21 999 99.0 99.0  1.42  8.33  5.51 100 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 11 51 999 99.0 99.0  1.47  8.33  5.54  99 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 12 21 999 99.0 99.0  1.31  8.33  5.33 103 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 12 51 999 99.0 99.0  1.39  8.33  5.42  99 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 13 21 999 99.0 99.0  1.34  8.33  5.38  93 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 13 51 999 99.0 99.0  1.44  8.33  5.67  95 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 14 21 999 99.0 99.0  1.41  8.33  5.39  92 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 14 51 999 99.0 99.0  1.40  8.33  5.42  92 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 15 21 999 99.0 99.0  1.43  8.33  5.61  99 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 15 51 999 99.0 99.0  1.43  8.33  5.58  98 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 16 21 999 99.0 99.0  1.40  8.33  5.42 102 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 16 51 999 99.0 99.0  1.43  8.33  5.35  95 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 17 21 999 99.0 99.0  1.43  8.33  5.42  99 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 17 51 999 99.0 99.0  1.48  8.33  5.38 100 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 18 21 999 99.0 99.0  1.56  8.33  5.30  95 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 18 51 999 99.0 99.0  1.49  7.69  5.09  95 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 19 21 999 99.0 99.0  1.56  8.33  5.21 100 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 19 51 999 99.0 99.0  1.55  8.33  5.07  99 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 20 21 999 99.0 99.0  1.59  8.33  5.21  96 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 20 51 999 99.0 99.0  1.55  8.33  5.12 109 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 21 21 999 99.0 99.0  1.61  8.33  5.22 103 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 21 51 999 99.0 99.0  1.55  8.33  5.23  98 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 22 21 999 99.0 99.0  1.59  8.33  5.18 102 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 22 51 999 99.0 99.0  1.59  8.33  5.25 102 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 23 21 999 99.0 99.0  1.56  8.33  5.16  98 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 01 23 51 999 99.0 99.0  1.53  8.33  5.27 100 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 00 21 999 99.0 99.0  1.51  9.09  5.21  99 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 00 51 999 99.0 99.0  1.54  8.33  5.28 106 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 01 21 999 99.0 99.0  1.48  8.33  5.22  96 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 01 51 999 99.0 99.0  1.37  9.09  5.16  99 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 02 02 21 999 99.0 99.0  1.46  8.33  5.22 102 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 02 02 51 999 99.0 99.0  1.39  5.88  5.13  99 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 02 04 21 999 99.0 99.0  1.40  8.33  5.44  98 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 02 04 51 999 99.0 99.0  1.35  8.33  5.20  95 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 02 05 21 999 99.0 99.0  1.32  8.33  5.07 103 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 02 05 51 999 99.0 99.0  1.35  8.33  5.02 102 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 02 06 21 999 99.0 99.0  1.37  8.33  5.22  98 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 02 06 51 999 99.0 99.0  1.38  8.33  5.08  99 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 02 07 21 999 99.0 99.0  1.39  8.33  5.11 102 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 02 07 51 999 99.0 99.0  1.44  8.33  5.06  98 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 02 08 21 999 99.0 99.0  1.36  8.33  5.07 102 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 02 08 51 999 99.0 99.0  1.40  7.14  4.93 100 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 09 21 999 99.0 99.0  1.31  8.33  4.85 106 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 02 09 51 999 99.0 99.0  1.35  8.33  5.07  93 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 10 21 999 99.0 99.0  1.34  5.26  4.94 103 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 10 51 999 99.0 99.0  1.43  7.69  5.10  95 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 11 21 999 99.0 99.0  1.32  8.33  4.81  93 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 11 51 999 99.0 99.0  1.36  8.33  5.08 105 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 12 21 999 99.0 99.0  1.30  8.33  4.88 105 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 12 51 999 99.0 99.0  1.28  7.69  4.82  95 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 13 21 999 99.0 99.0  1.29  7.69  5.05  98 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 13 51 999 99.0 99.0  1.31  5.88  5.05 102 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 14 21 999 99.0 99.0  1.32  5.56  5.05  99 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 14 51 999 99.0 99.0  1.27  5.88  4.94 105 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 15 21 999 99.0 99.0  1.23  7.69  4.95 102 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 15 51 999 99.0 99.0  1.19  5.26  4.95  96 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 16 21 999 99.0 99.0  1.23  8.33  5.42  99 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 16 51 999 99.0 99.0  1.20  7.69  5.08  95 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 17 21 999 99.0 99.0  1.21  8.33  5.13 105 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 17 51 999 99.0 99.0  1.20  7.69  5.21 102 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 18 21 999 99.0 99.0  1.18  5.00  5.06  91 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 18 51 999 99.0 99.0  1.26  5.26  5.09  95 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 19 21 999 99.0 99.0  1.28  7.14  4.78 103 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 19 51 999 99.0 99.0  1.26  5.00  4.88  95 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 20 21 999 99.0 99.0  1.30  4.76  4.82  85 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 20 51 999 99.0 99.0  1.27  7.69  4.91 103 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 21 21 999 99.0 99.0  1.30  7.69  4.91 100 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 21 51 999 99.0 99.0  1.25  5.88  4.82 105 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 22 21 999 99.0 99.0  1.31  5.88  4.86 106 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 22 51 999 99.0 99.0  1.35  5.88  4.81 100 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 23 21 999 99.0 99.0  1.35  7.69  4.77  98 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 02 23 51 999 99.0 99.0  1.26  8.33  4.85 107 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 03 00 21 999 99.0 99.0  1.27  8.33  4.81  99 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 03 00 51 999 99.0 99.0  1.36  8.33  4.83  99 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 03 01 21 999 99.0 99.0  1.30  7.69  4.82 105 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 03 01 51 999 99.0 99.0  1.33  5.88  4.71 107 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 03 02 21 999 99.0 99.0  1.31  8.33  4.85 103 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 03 02 51 999 99.0 99.0  1.35  8.33  4.91 105 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 03 03 21 999 99.0 99.0  1.33  5.56  4.99  99 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 03 03 51 999 99.0 99.0  1.22  5.56  4.88  93 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 03 04 21 999 99.0 99.0  1.27  5.56  4.87  99 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 03 04 51 999 99.0 99.0  1.30  5.56  4.99  96 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 03 05 21 999 99.0 99.0  1.27  6.67  4.82 105 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 03 05 51 999 99.0 99.0  1.25  5.00  4.79 100 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 03 06 21 999 99.0 99.0  1.27  7.69  4.94  99 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 03 06 51 999 99.0 99.0  1.40  5.56  4.96 100 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 03 07 21 999 99.0 99.0  1.34  7.69  4.82  96 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 03 07 51 999 99.0 99.0  1.38  5.56  4.84 110 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 03 08 21 999 99.0 99.0  1.39  5.00  4.82  91 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 08 51 999 99.0 99.0  1.43  5.88  4.90 109 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 09 21 999 99.0 99.0  1.40  5.56  4.88 102 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 09 51 999 99.0 99.0  1.45  5.26  4.87  99 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 10 21 999 99.0 99.0  1.49  5.88  4.95 105 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 10 51 999 99.0 99.0  1.41  5.56  4.76 100 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 11 21 999 99.0 99.0  1.47  5.56  4.96 103 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 11 51 999 99.0 99.0  1.44  5.88  4.95 103 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 12 21 999 99.0 99.0  1.34  6.25  5.12  96 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 12 51 999 99.0 99.0  1.43  5.56  5.09  98 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 13 21 999 99.0 99.0  1.38  5.56  4.98  99 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 13 51 999 99.0 99.0  1.31  6.25  4.98  89 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 14 21 999 99.0 99.0  1.39  6.67  5.27  89 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 14 51 999 99.0 99.0  1.32  6.25  4.94  92 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 15 21 999 99.0 99.0  1.23  5.88  5.01  93 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 15 51 999 99.0 99.0  1.28  8.33  5.27  98 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 16 21 999 99.0 99.0  1.21  5.88  5.03  96 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 16 51 999 99.0 99.0  1.30  5.88  5.35  98 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 17 51 999 99.0 99.0  1.29  5.88  5.32  95 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 18 21 999 99.0 99.0  1.34  6.67  5.40  91 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 18 51 999 99.0 99.0  1.33  8.33  5.30 100 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 19 21 999 99.0 99.0  1.34  5.88  5.20 102 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 19 51 999 99.0 99.0  1.35  5.26  5.22  98 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 20 21 999 99.0 99.0  1.33  5.88  5.30  95 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 20 51 999 99.0 99.0  1.38  5.88  5.27  93 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 21 21 999 99.0 99.0  1.33  7.14  5.20  92 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 21 51 999 99.0 99.0  1.30  6.25  5.22  92 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 22 21 999 99.0 99.0  1.23  6.25  5.05  96 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 23 21 999 99.0 99.0  1.33  6.25  5.33  85 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 03 23 51 999 99.0 99.0  1.31  6.67  5.21  91 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 04 00 21 999 99.0 99.0  1.26  6.67  4.98  91 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 04 00 51 999 99.0 99.0  1.32  6.25  5.10  92 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 04 01 21 999 99.0 99.0  1.30  5.88  5.16  98 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 04 01 51 999 99.0 99.0  1.33  6.67  5.25  95 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 04 02 21 999 99.0 99.0  1.26  8.33  5.53 102 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 04 02 51 999 99.0 99.0  1.31  6.67  5.47 100 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 04 03 21 999 99.0 99.0  1.29  6.67  5.36  95 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 04 03 51 999 99.0 99.0  1.20  7.69  5.49  85 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 04 04 21 999 99.0 99.0  1.21  6.67  5.45 106 9999.0 999.0  28.7 999.0 99.0 99.00
2010 01 04 04 51 999 99.0 99.0  1.17  6.25  5.68  96 9999.0 999.0  28.7 999.0 99.0 99.00
2010 01 04 05 21 999 99.0 99.0  1.33  6.25  5.88 110 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 04 05 51 999 99.0 99.0  1.28  7.69  5.69  99 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 04 06 21 999 99.0 99.0  1.29  6.25  5.62 100 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 04 06 51 999 99.0 99.0  1.29  7.14  5.86 100 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 04 07 21 999 99.0 99.0  1.36  6.25  5.75  96 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 04 07 51 999 99.0 99.0  1.35  6.67  5.85 103 9999.0 999.0  28.6 999.0 99.0 99.00
2010 01 04 08 21 999 99.0 99.0  1.47  6.25  5.73 106 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 04 08 51 999 99.0 99.0  1.36  7.14  5.44 106 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 04 09 21 999 99.0 99.0  1.44  7.14  5.47 105 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 04 09 51 999 99.0 99.0  1.37  6.67  5.35 107 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 04 10 21 999 99.0 99.0  1.46  6.67  5.48 106 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 04 10 51 999 99.0 99.0  1.34  6.25  5.36  98 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 04 11 21 999 99.0 99.0  1.27  7.14  5.48 107 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 04 11 51 999 99.0 99.0  1.39  6.25  5.49  93 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 04 12 21 999 99.0 99.0  1.32  7.14  5.48 107 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 04 12 51 999 99.0 99.0  1.39  6.67  5.73 100 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 04 13 21 999 99.0 99.0  1.27  7.14  5.68  93 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 04 13 51 999 99.0 99.0  1.23  7.14  5.75  92 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 04 14 21 999 99.0 99.0  1.31  7.14  5.96  98 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 04 14 51 999 99.0 99.0  1.28  7.69  5.91 105 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 04 15 21 999 99.0 99.0  1.23  7.69  5.93 103 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 04 15 51 999 99.0 99.0  1.24  7.14  6.02  95 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 04 16 21 999 99.0 99.0  1.17  7.14  5.85  93 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 04 16 51 999 99.0 99.0  1.18  6.67  5.98  99 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 04 17 21 999 99.0 99.0  1.26  6.67  5.86  98 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 04 17 51 999 99.0 99.0  1.23  7.14  5.82 103 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 04 18 21 999 99.0 99.0  1.28  7.14  5.86 100 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 04 18 51 999 99.0 99.0  1.20  7.14  5.71  99 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 04 19 21 999 99.0 99.0  1.29  7.14  5.75 105 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 04 19 51 999 99.0 99.0  1.32  6.67  5.50 102 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 04 23 51 999 99.0 99.0  1.25  7.69  5.19 103 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 05 00 21 999 99.0 99.0  1.27  6.67  5.07  89 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 05 00 51 999 99.0 99.0  1.35  7.69  4.93  98 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 05 01 21 999 99.0 99.0  1.43  6.67  5.12  93 9999.0 999.0  28.5 999.0 99.0 99.00
