#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 01 01 00 15 999 99.0 99.0  2.53  7.69  6.46  95 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 01 05 45 999 99.0 99.0  2.46  9.09  6.48  77 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 01 06 15 999 99.0 99.0  2.67  9.88  6.63  74 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 01 06 45 999 99.0 99.0  2.61  9.09  6.50  80 9999.0 999.0  28.7 999.0 99.0 99.00
2013 01 01 07 15 999 99.0 99.0  2.68  8.33  6.62  85 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 01 07 45 999 99.0 99.0  2.51  9.09  6.42  76 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 01 08 15 999 99.0 99.0  2.41  9.88  6.35  77 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 01 08 45 999 99.0 99.0  2.39  8.33  6.36  90 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 01 09 15 999 99.0 99.0  2.61  9.88  6.86  80 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 01 09 45 999 99.0 99.0  2.31  9.09  6.47  87 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 01 10 15 999 99.0 99.0  2.55 10.53  6.87  80 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 01 10 45 999 99.0 99.0  2.51  9.88  6.66  74 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 01 11 15 999 99.0 99.0  2.47  9.09  6.67  83 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 01 11 45 999 99.0 99.0  2.63  9.88  6.76  77 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 01 12 15 999 99.0 99.0  2.52  9.09  6.62  81 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 01 12 45 999 99.0 99.0  2.60  9.09  6.55  85 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 01 13 15 999 99.0 99.0  2.72  9.09  6.66  83 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 01 13 45 999 99.0 99.0  2.70  8.33  6.66  80 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 01 14 15 999 99.0 99.0  2.61  9.09  6.62  80 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 01 14 45 999 99.0 99.0  2.64  9.88  6.68  92 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 01 15 15 999 99.0 99.0  2.78  9.09  6.80  78 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 01 15 45 999 99.0 99.0  2.51  9.09  6.63  70 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 01 16 15 999 99.0 99.0  2.63  9.09  6.74  77 9999.0 999.0  28.6 999.0 99.0 99.00
